2026-01-07 15:10:04,689 INFO [Kafka] Connected to redpanda:9092, topic=stock_prices
2026-01-07 15:10:04,691 INFO Starting Yahoo async fetcher for: ['AAPL', 'GOOG', 'AMZN', 'MSFT', 'TSLA', 'META', 'NFLX']
2026-01-07 15:10:04,692 INFO <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=redpanda:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to redpanda:9092 [('172.18.0.3', 9092) IPv4]
2026-01-07 15:10:04,698 INFO <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=redpanda:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
2026-01-07 15:10:04,710 INFO Starting Yahoo async sender.
2026-01-07 15:10:07,960 INFO <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=redpanda:9092 <connecting> [IPv4 ('172.18.0.3', 9092)]>: connecting to redpanda:9092 [('172.18.0.3', 9092) IPv4]
2026-01-07 15:10:07,964 INFO <BrokerConnection client_id=kafka-python-producer-1, node_id=0 host=redpanda:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Connection complete.
2026-01-07 15:10:07,970 INFO <BrokerConnection client_id=kafka-python-producer-1, node_id=bootstrap-0 host=redpanda:9092 <connected> [IPv4 ('172.18.0.3', 9092)]>: Closing connection. 
2026-01-07 15:10:07,985 INFO [KAFKA PUSH] record = {'symbol': 'AAPL', 'currency': 'USD', 'exchange': 'NMS', 'price': 261.4016, 'open': 263.27, 'high': 263.68, 'low': 261.21, 'volume': 7853403, 'market_cap': 3879301808128, 'timestamp': 1767798606}
2026-01-07 15:10:08,002 INFO [KAFKA PUSH] record = {'symbol': 'GOOG', 'currency': 'USD', 'exchange': 'NMS', 'price': 320.49, 'open': 314.501, 'high': 322.55, 'low': 314.5, 'volume': 4990973, 'market_cap': 3868901769216, 'timestamp': 1767798606}
2026-01-07 15:10:08,007 INFO [KAFKA PUSH] record = {'symbol': 'AMZN', 'currency': 'USD', 'exchange': 'NMS', 'price': 243.15, 'open': 239.61, 'high': 243.74, 'low': 239.52, 'volume': 9159524, 'market_cap': 2599645609984, 'timestamp': 1767798606}
2026-01-07 15:10:08,023 INFO [KAFKA PUSH] record = {'symbol': 'MSFT', 'currency': 'USD', 'exchange': 'NMS', 'price': 483.32, 'open': 479.56, 'high': 485.12, 'low': 477.95, 'volume': 4132927, 'market_cap': 3592598061056, 'timestamp': 1767798605}
2026-01-07 15:10:08,034 INFO [KAFKA PUSH] record = {'symbol': 'TSLA', 'currency': 'USD', 'exchange': 'NMS', 'price': 434.11, 'open': 435.885, 'high': 438.13, 'low': 431.6, 'volume': 14156205, 'market_cap': 1443771318272, 'timestamp': 1767798605}
2026-01-07 15:10:08,045 INFO [KAFKA PUSH] record = {'symbol': 'META', 'currency': 'USD', 'exchange': 'NMS', 'price': 647.1384, 'open': 655.78, 'high': 659.15, 'low': 646.4, 'volume': 2332227, 'market_cap': 1631587926016, 'timestamp': 1767798606}
2026-01-07 15:10:08,057 INFO [KAFKA PUSH] record = {'symbol': 'NFLX', 'currency': 'USD', 'exchange': 'NMS', 'price': 90.6035, 'open': 91.59, 'high': 92.419, 'low': 90.565, 'volume': 7555207, 'market_cap': 383916310528, 'timestamp': 1767798606}
2026-01-07 15:10:10,414 INFO [KAFKA PUSH] record = {'symbol': 'AAPL', 'currency': 'USD', 'exchange': 'NMS', 'price': 261.4, 'open': 263.27, 'high': 263.68, 'low': 261.21, 'volume': 7855737, 'market_cap': 3879277690880, 'timestamp': 1767798607}
2026-01-07 15:10:10,433 INFO [KAFKA PUSH] record = {'symbol': 'GOOG', 'currency': 'USD', 'exchange': 'NMS', 'price': 320.35, 'open': 314.501, 'high': 322.55, 'low': 314.5, 'volume': 4994045, 'market_cap': 3867574009856, 'timestamp': 1767798609}
2026-01-07 15:10:10,444 INFO [KAFKA PUSH] record = {'symbol': 'AMZN', 'currency': 'USD', 'exchange': 'NMS', 'price': 243.18, 'open': 239.61, 'high': 243.74, 'low': 239.52, 'volume': 9163760, 'market_cap': 2599486226432, 'timestamp': 1767798609}
2026-01-07 15:10:10,464 INFO [KAFKA PUSH] record = {'symbol': 'MSFT', 'currency': 'USD', 'exchange': 'NMS', 'price': 483.3, 'open': 479.56, 'high': 485.12, 'low': 477.95, 'volume': 4134448, 'market_cap': 3592449163264, 'timestamp': 1767798609}
